iter	Passed	Remaining
0	63	63922
1	67	33470
2	70	23331
3	73	18253
4	76	15159
5	79	13096
6	82	11665
7	85	10544
8	87	9679
9	90	8968
10	93	8387
11	96	7912
12	98	7502
13	101	7158
14	104	6855
15	107	6583
16	109	6348
17	112	6140
18	115	5958
19	118	5790
20	120	5638
21	123	5505
22	126	5376
23	129	5257
24	132	5153
25	134	5053
26	137	4961
27	140	4874
28	143	4795
29	146	4724
30	148	4656
31	151	4594
32	154	4534
33	157	4478
34	160	4419
35	162	4364
36	165	4311
37	168	4266
38	171	4224
39	174	4180
40	176	4139
41	179	4100
42	182	4060
43	185	4025
44	188	3991
45	190	3960
46	193	3928
47	196	3899
48	199	3870
49	202	3842
50	205	3815
51	207	3791
52	210	3766
53	213	3740
54	216	3715
55	219	3692
56	222	3674
57	225	3661
58	228	3638
59	230	3615
60	233	3594
61	236	3576
62	239	3556
63	242	3544
64	245	3527
65	247	3507
66	250	3490
67	253	3474
68	256	3456
69	258	3440
70	261	3424
71	264	3409
72	267	3394
73	269	3377
74	272	3363
75	275	3348
76	278	3337
77	281	3323
78	284	3312
79	286	3299
80	289	3284
81	292	3273
82	295	3263
83	298	3251
84	300	3239
85	303	3229
86	306	3217
87	309	3207
88	312	3195
89	314	3183
90	317	3171
91	320	3162
92	323	3150
93	325	3140
94	328	3128
95	331	3118
96	333	3107
97	336	3097
98	339	3086
99	341	3075
100	344	3065
101	347	3056
102	349	3047
103	352	3038
104	355	3029
105	358	3021
106	360	3010
107	363	3003
108	366	2995
109	369	2987
110	372	2979
111	374	2971
112	377	2963
113	380	2955
114	383	2947
115	385	2939
116	388	2931
117	391	2924
118	394	2916
119	396	2909
120	399	2902
121	402	2895
122	404	2887
123	407	2880
124	410	2873
125	413	2866
126	416	2860
127	418	2852
128	421	2846
129	424	2840
130	427	2833
131	429	2825
132	432	2818
133	435	2811
134	437	2805
135	440	2798
136	443	2792
137	446	2786
138	448	2780
139	451	2773
140	454	2766
141	456	2759
142	459	2752
143	462	2746
144	464	2740
145	467	2733
146	469	2726
147	472	2720
148	475	2714
149	477	2707
150	480	2701
151	483	2695
152	485	2688
153	488	2683
154	491	2678
155	493	2672
156	496	2666
157	499	2659
158	501	2653
159	504	2648
160	507	2643
161	519	2688
162	522	2684
163	525	2678
164	528	2673
165	530	2667
166	534	2663
167	537	2661
168	540	2655
169	542	2648
170	545	2644
171	548	2639
172	551	2634
173	553	2629
174	556	2624
175	559	2620
176	562	2614
177	565	2609
178	567	2604
179	570	2599
180	573	2593
181	575	2588
182	578	2583
183	581	2578
184	584	2573
185	586	2568
186	589	2563
187	592	2557
188	594	2552
189	597	2547
190	600	2542
191	603	2538
192	605	2532
193	608	2527
194	611	2522
195	613	2518
196	616	2513
197	619	2509
198	622	2504
199	625	2500
200	627	2495
201	630	2490
202	633	2486
203	636	2481
204	638	2477
205	641	2472
206	644	2467
207	646	2463
208	649	2458
209	652	2453
210	654	2448
211	657	2444
212	660	2439
213	662	2434
214	665	2430
215	668	2425
216	671	2421
217	673	2416
218	676	2412
219	679	2408
220	681	2403
221	684	2399
222	687	2395
223	690	2391
224	693	2387
225	695	2382
226	698	2378
227	701	2374
228	703	2369
229	706	2365
230	709	2360
231	711	2356
232	714	2353
233	717	2350
234	720	2346
235	723	2342
236	726	2339
237	729	2335
238	732	2331
239	734	2327
240	737	2323
241	740	2318
242	743	2314
243	745	2310
244	748	2307
245	751	2303
246	754	2299
247	756	2295
248	759	2290
249	762	2286
250	764	2282
251	767	2278
252	770	2274
253	773	2270
254	775	2266
255	778	2262
256	781	2259
257	784	2255
258	787	2251
259	789	2248
260	792	2244
261	795	2240
262	798	2237
263	801	2233
264	804	2230
265	806	2226
266	809	2222
267	812	2218
268	814	2214
269	817	2211
270	820	2206
271	823	2203
272	825	2199
273	828	2195
274	831	2191
275	834	2187
276	836	2183
277	839	2180
278	842	2176
279	844	2172
280	847	2168
281	850	2164
282	852	2160
283	855	2157
284	858	2153
285	861	2150
286	864	2146
287	866	2142
288	869	2138
289	871	2134
290	874	2131
291	877	2127
292	880	2124
293	882	2120
294	885	2116
295	888	2112
296	891	2109
297	893	2105
298	896	2101
299	899	2097
300	902	2094
301	904	2091
302	907	2087
303	910	2084
304	913	2080
305	915	2077
306	918	2074
307	921	2070
308	924	2066
309	926	2063
310	929	2059
311	932	2056
312	935	2053
313	938	2049
314	940	2045
315	943	2042
316	946	2039
317	949	2035
318	952	2032
319	954	2029
320	957	2025
321	960	2022
322	963	2019
323	966	2016
324	969	2013
325	972	2009
326	974	2006
327	977	2002
328	980	1999
329	982	1995
330	985	1991
331	988	1988
332	990	1984
333	993	1981
334	996	1977
335	999	1974
336	1001	1971
337	1004	1967
338	1007	1963
339	1009	1959
340	1012	1956
341	1015	1953
342	1018	1949
343	1020	1946
344	1023	1943
345	1026	1939
346	1029	1936
347	1031	1933
348	1034	1930
349	1037	1926
350	1040	1923
351	1043	1920
352	1046	1917
353	1048	1913
354	1051	1910
355	1054	1907
356	1057	1903
357	1059	1900
358	1062	1897
359	1065	1893
360	1067	1890
361	1070	1887
362	1073	1883
363	1076	1880
364	1079	1877
365	1081	1873
366	1084	1870
367	1087	1867
368	1089	1863
369	1092	1860
370	1095	1856
371	1097	1853
372	1100	1850
373	1103	1846
374	1106	1843
375	1108	1840
376	1111	1836
377	1114	1833
378	1117	1830
379	1119	1827
380	1122	1823
381	1125	1820
382	1128	1817
383	1130	1813
384	1133	1810
385	1136	1807
386	1139	1804
387	1141	1801
388	1144	1797
389	1147	1794
390	1150	1791
391	1152	1788
392	1155	1784
393	1158	1781
394	1161	1778
395	1163	1775
396	1166	1771
397	1169	1768
398	1172	1765
399	1174	1762
400	1177	1758
401	1179	1755
402	1182	1752
403	1185	1748
404	1187	1745
405	1190	1742
406	1193	1738
407	1196	1735
408	1199	1732
409	1201	1729
410	1204	1726
411	1207	1723
412	1210	1720
413	1214	1718
414	1216	1715
415	1219	1712
416	1222	1708
417	1224	1705
418	1227	1702
419	1230	1699
420	1233	1696
421	1236	1693
422	1238	1689
423	1241	1686
424	1244	1683
425	1246	1680
426	1249	1676
427	1252	1673
428	1254	1670
429	1257	1667
430	1260	1664
431	1263	1660
432	1265	1657
433	1269	1655
434	1272	1652
435	1274	1648
436	1277	1645
437	1280	1642
438	1282	1639
439	1285	1636
440	1288	1633
441	1291	1630
442	1293	1626
443	1296	1623
444	1299	1620
445	1302	1617
446	1304	1614
447	1307	1611
448	1310	1608
449	1313	1605
450	1316	1602
451	1318	1598
452	1321	1595
453	1324	1592
